#NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,T-type,log_RE,DA
NGC4067,181.048157,10.854354,0,0,0,2415,36.5,-22.91,0.11,3.1,1.20,94.1612882849
NGC4096,181.504837,47.478359,0,0,0,566,9.6,-22.12,0.08,5.3,1.77,356.811783238
NGC4158,182.792358,20.175770,0,0,0,2458,37.6,-23.14,0.14,3.1,1.29,91.4078874991
NGC4162,182.968613,24.123682,0,1,0,2569,26.8,-22.79,0.16,4.0,1.36,128.214651225
NGC4257,184.776993,5.725926,0,0,0,2756,40.5,-22.34,0.09,1.7,1.05,84.8653926841
NGC4348,185.974838,-3.442911,0,0,0,2005,30.6,-23.53,0.16,4.2,1.29,112.304697917
NGC4388,186.445084,12.662070,0,0,0,2524,38.0,-24.91,0.14,2.8,1.61,90.4461455265
NGC4414,186.612869,31.223545,0,24,0,716,17.9,-24.33,0.08,5.2,1.52,191.853466431
NGC4454,187.211441,-1.939140,0,0,0,2407,35.6,-23.72,0.11,0.1,1.54,96.5405343628
NGC4470,187.407501,7.824057,0,0,0,2341,35.5,-22.64,0.10,1.4,1.34,96.8123359729
NGC4480,187.611588,4.246471,0,0,0,2439,36.4,-23.07,0.10,5.0,1.47,94.4198432462
NGC4525,188.463303,30.277517,0,0,0,1172,23.0,-21.83,0.10,5.9,1.62,149.37317532
NGC4559,188.990372,27.959761,0,0,0,816,9.0,-22.20,0.08,6.0,1.98,380.411504755
NGC4591,189.801834,6.012214,0,0,0,2422,36.4,-22.58,0.09,2.3,1.22,94.4198432462
NGC4602,190.153534,-5.133010,0,1,0,2539,34.5,-24.16,0.10,4.2,1.59,99.616942139
NGC4604,190.187241,-5.302535,0,0,0,2658,38.5,-21.54,0.10,10.0,1.10,89.2720517297
NGC4651,190.927612,16.393396,0,2,0,805,24.1,-23.90,0.12,5.2,1.56,142.56331308
NGC4691,192.056961,-3.332918,0,0,0,1110,16.0,-22.50,0.12,0.3,1.42,214.5800625
NGC4725,192.610886,25.500759,1,21,0,1206,12.9,-24.38,0.05,2.2,2.02,265.960108121
NGC4736,192.721451,41.120152,1,4,0,308,5.1,-23.42,0.08,2.4,1.66,665.623380693
NGC4747,192.941513,25.777317,0,0,0,1190,24.3,-21.64,0.05,7.2,1.42,141.391280747
NGC4771,193.338638,1.269171,0,0,0,1134,18.6,-22.35,0.09,6.3,1.52,184.647323965
NGC4772,193.371552,2.168344,0,1,0,1040,28.3,-23.91,0.12,1.1,1.47,121.424630354
NGC4779,193.461929,9.709920,0,0,0,2831,41.9,-23.25,0.09,4.6,1.39,82.0308896726
NGC4791,193.683075,8.053164,0,0,0,2529,37.9,-21.56,0.14,0.0,1.03,90.6846791627
NGC4793,193.669174,28.938766,0,0,0,2484,38.5,-24.04,0.05,5.1,1.51,89.2720517297
NGC4799,193.814758,2.896605,0,0,0,2793,41.0,-23.18,0.15,4.9,1.01,83.8308616378
NGC4800,193.657394,46.531139,0,1,0,891,29.8,-24.08,0.07,3.0,1.31,115.317357536
NGC4904,195.244446,-0.027452,0,0,0,1189,20.8,-22.10,0.11,5.8,1.52,165.149124016
NGC4941,196.054764,-5.551620,0,1,0,1108,21.2,-23.43,0.16,2.4,1.69,162.037760244
NGC4961,196.448227,27.734110,0,0,0,2535,39.1,-22.12,0.05,5.6,1.21,87.9027498056
NGC5005,197.734634,37.058941,0,3,0,946,14.1,-24.31,0.06,4.0,1.63,243.404271678
NGC5014,197.879990,36.282120,0,0,0,1126,21.4,-21.54,0.03,1.4,1.09,160.525599362
NGC5033,198.364731,36.593651,0,3,0,875,17.6,-24.28,0.05,5.1,1.79,195.116736022
NGC5055,198.955536,42.029289,0,2,0,504,10.1,-24.43,0.08,4.0,2.02,339.265249358
NGC5089,199.913742,30.256323,0,0,0,2141,34.2,-21.81,0.05,3.9,1.26,100.490279432
NGC5117,200.735260,28.316532,0,0,0,2382,37.2,-21.52,0.07,5.7,1.35,92.3902973174
NGC5205,202.515381,62.511528,0,0,0,1766,29.9,-22.62,0.10,3.0,1.41,114.931968558
NGC5240,203.980103,35.588268,0,0,0,2234,35.5,-22.08,0.06,5.8,1.37,96.8123359729
NGC5248,204.383621,8.885060,0,0,0,1151,20.8,-24.34,0.11,4.0,1.81,165.149124016
NGC5301,206.602539,46.107407,0,0,0,1503,26.4,-23.00,0.08,4.7,1.38,130.155455384
NGC5303,206.937347,38.304531,0,0,0,1419,25.3,-21.79,0.06,4.8,1.13,135.80862473
NGC5334,208.226959,-1.114756,0,0,0,1386,23.1,-21.90,0.20,5.2,1.64,148.727346515
NGC5347,208.324387,33.490761,0,0,0,2335,36.8,-23.19,0.09,2.0,1.43,93.3940482804
