NGC4793,193.6692,28.93877,False,0,False,2484,38.5,-24.04,0.05,5.1,1.51
NGC4799,193.8148,2.896605,False,0,False,2793,41,-23.18,0.15,4.9,1.01
NGC4800,193.6574,46.53114,False,1,False,891,29.8,-24.08,0.07,3,1.31
NGC4904,195.2444,-0.027452,False,0,False,1189,20.8,-22.1,0.11,5.8,1.52
NGC4941,196.0548,-5.55162,False,1,False,1108,21.2,-23.43,0.16,2.4,1.69
NGC4961,196.4482,27.73411,False,0,False,2535,39.1,-22.12,0.05,5.6,1.21
NGC5005,197.7346,37.05894,False,3,False,946,14.1,-24.31,0.06,4,1.63
NGC5014,197.88,36.28212,False,0,False,1126,21.4,-21.54,0.03,1.4,1.09
NGC5033,198.3647,36.59365,False,3,False,875,17.6,-24.28,0.05,5.1,1.79
NGC5055,198.9555,42.02929,False,2,False,504,10.1,-24.43,0.08,4,2.02
NGC5089,199.9137,30.25632,False,0,False,2141,34.2,-21.81,0.05,3.9,1.26
NGC5117,200.7353,28.31653,False,0,False,2382,37.2,-21.52,0.07,5.7,1.35
NGC5205,202.5154,62.51153,False,0,False,1766,29.9,-22.62,0.1,3,1.41
NGC5240,203.9801,35.58827,False,0,False,2234,35.5,-22.08,0.06,5.8,1.37
NGC5248,204.3836,8.88506,False,0,False,1151,20.8,-24.34,0.11,4,1.81
NGC5301,206.6025,46.10741,False,0,False,1503,26.4,-23,0.08,4.7,1.38
NGC5303,206.9373,38.30453,False,0,False,1419,25.3,-21.79,0.06,4.8,1.13
NGC5334,208.227,-1.114756,False,0,False,1386,23.1,-21.9,0.2,5.2,1.64
NGC5347,208.3244,33.49076,False,0,False,2335,36.8,-23.19,0.09,2,1.43
NGC5356,208.7434,5.333607,False,0,False,1374,23.7,-22.25,0.11,3.8,1.41
NGC5371,208.9168,40.46177,False,2,False,2558,31.4,-24.88,0.04,4,1.84
NGC5375,209.2333,29.16429,False,0,False,2386,37.3,-23.62,0.09,2.4,1.45
NGC5377,209.0695,47.23557,False,1,False,1793,31,-24.1,0.07,1,1.51
