name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
NGC4779	1237662237470097429	193.46179423	9.70998897	3903	301	3	82	GALAXY	14.586679	13.312228	12.622542	12.323039	12.051648
NGC4791	1237661976550965261	193.68310587	8.05310392	3842	301	5	84	GALAXY	16.250469	14.700397	13.999708	13.649433	13.405767
NGC4793	1237665440978436156	193.66934302	28.93865289	4649	301	2	76	GALAXY	14.188148	13.382992	12.617834	12.277151	11.746758
NGC4799	1237651754553245775	193.81472366	2.8966485	1462	301	5	457	GALAXY	15.394073	13.718491	12.87747	12.528214	12.165268
NGC4800	1237661360758521885	193.65746271	46.53116392	3699	301	2	61	GALAXY	13.36677	11.713652	10.906908	10.573416	10.266824
NGC4904	1237648721237377109	195.2444867	-0.02755622	756	301	3	530	GALAXY	14.447794	13.184956	12.531711	12.276934	12.116414
NGC4961	1237667444049248315	196.44819772	27.73414437	5115	301	5	159	GALAXY	14.678251	13.578614	13.138107	12.958205	12.779574
NGC5014	1237664852564049931	197.88015321	36.28205365	4512	301	2	17	GALAXY	15.286311	13.352311	12.730989	12.472181	12.138686
NGC5033	1237664844511117384	198.36456168	36.59390065	4510	301	3	19	GALAXY	13.625071	11.836943	10.878055	10.368289	10.000969
NGC5055	1237662195067912236	198.95527015	42.02940633	3893	301	4	244	GALAXY	11.0065	11.078548	10.178611	13.64022	9.317443
NGC5089	1237667259893678110	199.91395788	30.2565092	5072	301	6	24	GALAXY	19.898724	18.770176	18.406668	18.18026	17.870369
NGC5117	1237665440981188698	200.73532502	28.31644342	4649	301	2	118	GALAXY	15.493865	14.097166	13.607335	13.392539	13.328617
NGC5205	1237655371439079453	202.5149659	62.51160171	2304	301	6	251	GALAXY	14.845208	13.181751	12.463761	12.080612	11.784688
NGC5240	1237664672718979220	203.97999007	35.58825951	4470	301	3	119	GALAXY	14.751837	13.469137	12.819715	12.499503	12.278281
NGC5248	1237662236937945133	204.38342796	8.88518187	3903	301	2	154	GALAXY	13.364526	11.886041	11.073327	10.654038	10.258766
NGC5301	1237661435388559416	206.60257348	46.10729745	3716	301	5	137	GALAXY	24.634653	25.114368	22.132229	20.224234	19.551413
NGC5303	1237664295297810527	206.93744319	38.30462073	4382	301	4	105	GALAXY	15.066461	13.872571	13.410597	12.845935	12.873908
NGC5334	1237648702977343535	208.22692335	-1.11461627	752	301	1	432	GALAXY	14.065571	12.779668	12.14515	11.757922	11.650579
NGC5347	1237665103282372621	208.32409366	33.49085159	4570	301	5	11	GALAXY	14.852185	13.154811	12.430894	12.030818	11.76473
NGC5356	1237654881271152801	208.74354058	5.33367804	2190	301	5	178	GALAXY	15.1189	13.436502	12.663448	12.206948	11.889316
NGC5375	1237665225704013914	209.2333244	29.16438402	4599	301	1	241	GALAXY	14.818428	12.945505	12.132281	11.719155	11.448545
NGC5377	1237658204518547512	209.06945047	47.23571179	2964	301	3	429	GALAXY	13.964184	12.120273	11.308935	10.914949	10.610445
