NGC3972,178.937988,55.320671,0,4,0,852,22.0,-22.08,0.06,4.0,1.50,156.15373215
NGC3982,179.117371,55.125362,0,23,0,1109,21.3,-22.80,0.06,3.2,1.43,161.278137936
NGC3992,179.399933,53.374519,0,5,0,1048,20.7,-24.65,0.13,4.0,2.00,165.945710055
NGC4010,179.658295,47.261311,0,0,0,902,16.9,-21.56,0.10,6.9,1.45,203.180059727
NGC4013,179.630905,43.947021,0,0,0,831,15.0,-23.25,0.07,3.0,1.67,228.844490057
NGC4041,180.550720,62.137287,0,0,0,1234,22.6,-23.36,0.08,4.0,1.35,152.013533304
NGC4051,180.790359,44.531261,0,5,0,700,14.9,-23.20,0.06,4.0,1.91,230.375780277
NGC4064,181.046631,18.443451,0,0,1,913,16.5,-22.54,0.09,1.4,1.55,208.093755535
NGC4085,181.344604,50.352749,0,4,0,746,21.0,-22.50,0.08,5.3,1.34,163.578659634
NGC4088,181.392456,50.539028,0,6,0,757,14.4,-23.31,0.09,4.7,1.76,238.349756445
NGC4100,181.535843,49.582310,0,7,0,1074,19.6,-23.44,0.10,4.1,1.65,175.24329126
NGC4102,181.596313,52.710949,0,4,0,846,21.1,-23.91,0.09,3.1,1.25,162.804566702
NGC4123,182.046173,2.878309,0,0,1,1327,16.5,-22.30,0.09,5.0,1.91,208.093755535
NGC4138,182.374115,43.685318,1,5,0,888,13.4,-22.44,0.06,-0.9,1.37,256.073598017
NGC4145,182.506348,39.883862,0,0,0,1016,19.0,-22.92,0.12,6.9,1.99,180.767250251
NGC4151,182.636078,39.405762,0,0,0,995,18.5,-23.96,0.12,2.0,1.43,185.643483535
NGC4157,182.768188,50.484680,0,0,0,774,14.7,-23.48,0.09,3.3,1.58,233.500577645
NGC4180,183.262726,7.038787,0,0,1,2096,16.5,-21.99,0.07,2.0,1.15,208.093755535
NGC4194,183.539886,54.526676,0,0,0,2501,39.4,-23.36,0.07,10.0,0.89,87.2337279065
NGC4205,183.731598,63.782757,0,0,0,1417,25.1,-21.57,0.09,0.0,1.23,136.889626148
NGC4217,183.962082,47.091789,0,4,0,1027,18.0,-23.70,0.08,3.0,1.71,190.789807192
NGC4220,184.048889,47.883354,0,0,0,914,17.3,-23.07,0.08,-0.3,1.47,198.492812032
NGC4224,184.140671,7.462119,0,0,0,2603,38.7,-24.34,0.10,1.0,1.41,88.8109032337
NGC4235,184.291306,7.191658,0,0,0,2410,36.2,-24.41,0.08,1.0,1.43,94.9412353571
